year,2017-cesiu,2017-quart,2017-thall,abran,abrasives-manufactured,aluminum,antimony,arsenic,asbestos,barite,bauxite-alumina,beryllium,bismuth,boron,bromine,cadmium,cement,chromium,clays,cobalt,construction_sand_and gravel,copper,crushed_stone,diamond,diatomite,dimension-stone,feldspar,fluorspar,gallium,garnet,gemstones,germanum,gold,graphite,gypsum,hafnium,helium,indium,iodine,iron-oxide-pigments,iron-steel,iron-steel-scrap,iron-steel-slag,iron_ore,kyanite,lead,lime,lithium,magnesium-compounds,magnesium-metal,manganese,mercury,mica,molybdenum,nasul,nickel,niobium,nitrogen,peat,perlite,phosphate,platinum,potash,pumice,rare-earths,rhenium,salt,sand-industrial,selenium,silicon,silver,soda-ash,strontium,sulfur,talc,tantalum,tellurium,thorium,tin,titanium-metal,titanium-minerals,titanium-pigments,tungsten,vanadium,vermiculite,wollastonite,zinc,zirconium
1929,,,,24.23728813559322,9.127659574468085,1.6007462686567164,4.355329949238579,7.36543909348442,6.975609756097561,112.15686274509804,188.98678414096915,,0.2288,12.863568215892053,1.442016806722689,0.65,99.07621247113164,31.77777777777778,181.3953488372093,0.1736842105263158,1383.8709677419356,2.1185185185185187,779.9999999999999,2.129032258064516e-06,57.2,50.470588235294116,143.0,40.857142857142854,,10.658385093167702,1.9815242494226328e-06,,0.0012941176470588236,17.54601226993865,368.24034334763945,,,,0.1085114455545719,15.88888888888889,44.22680412371135,,,328.7356321839081,,5.682119205298013,99.30555555555554,,36.05042016806723,0.680952380952381,22.31082337716721,0.2423728813559322,9.00314795383001,0.7660714285714286,142.52491694352162,1.11139896373057,,,105.92592592592592,,282.2368421052632,0.000453968253968254,11.157347204161248,147.6764199655766,2.0825242718446604,,243.05949008498584,691.9354838709678,0.2357142857142857,5.836734693877551,0.050470588235294114,41.853658536585364,4.959537572254336,50.769230769230774,59.172413793103445,,0.1881578947368421,,0.8614457831325302,,,,0.46885245901639344,0.2145,31.2,,6.0,17.16
1930,,,,23.821656050955415,8.130434782608695,1.4247619047619047,4.42603550295858,6.421152030217186,9.946808510638297,96.26769626769627,156.15866388308976,,0.25100671140939596,9.960053262316912,1.3575317604355717,0.5666666666666667,88.83610451306413,22.0,168.08988764044943,0.14989979959919839,1206.4516129032259,2.5616438356164384,692.5925925925925,7.932131495227995e-06,46.75,46.75,124.66666666666667,37.4,,10.809248554913294,2.174418604651163e-06,,0.0011299093655589125,18.155339805825243,323.8095238095238,,,,0.09315068493150686,13.357142857142858,39.57671957671958,,,263.38028169014086,,6.131147540983607,89.79591836734694,,33.84615384615385,0.7056603773584905,22.704091591097335,0.22395209580838324,14.496124031007751,0.608130081300813,107.31707317073172,0.9689119170984456,,,92.34567901234568,,237.46031746031747,0.0005540740740740741,9.855072463768115,114.72392638036811,1.2445923460898503,,218.07580174927114,570.9923664122138,0.1785202863961814,5.54074074074074,0.061311475409836065,38.55670103092784,2.9448818897637796,44.790419161676645,52.67605633802817,,0.19946666666666665,,1.0701001430615165,,,,0.4452380952380952,0.18469135802469136,41.0989010989011,,7.405940594059406,15.26530612244898
1931,,,,24.24124513618677,6.422680412371134,1.2120622568093384,4.20945945945946,5.348098549231694,15.344827586206897,97.34375,129.79166666666669,,0.2257246376811594,8.640776699029127,1.345572354211663,0.5148760330578512,95.6989247311828,13.543478260869565,140.0,0.17209944751381215,1038.3333333333335,3.3675675675675674,561.2612612612612,1.1623134328358209e-05,38.9375,77.875,103.83333333333333,32.78947368421053,,8.628808864265928,2.8190045248868777e-06,,0.0008616874135546334,17.953890489913544,255.32786885245903,,,,0.07891070297656745,10.559322033898304,35.19774011299435,,,229.88929889298893,,6.627659574468085,81.97368421052632,,26.623931623931625,0.9425113464447806,23.86334751879217,0.24624505928853754,10.113636363636363,0.6627659574468086,92.70833333333334,0.8069948186528497,,,77.875,,195.29780564263322,0.0007111872146118722,8.038709677419355,114.94464944649447,1.6975476839237058,,192.87925696594428,482.94573643410854,0.1486873508353222,4.547445255474453,0.06684549356223175,36.22093023255814,2.4722222222222223,38.22085889570552,46.148148148148145,,0.14126984126984127,,1.1537037037037037,,,,0.4071895424836601,0.13875278396436524,28.70967741935484,,7.7875,12.979166666666666
1932,,0.9388560157790927,,17.0,5.804878048780488,0.9260700389105059,3.838709677419355,4.086187655592755,14.60122699386503,80.5414551607445,95.39078156312625,,0.2545454545454545,10.967741935483872,1.0280777537796977,0.3933884297520661,80.0,8.981132075471699,99.37369519832986,0.15866666666666668,933.3333333333334,3.71875,457.6923076923077,1.460122699386503e-05,29.75,79.33333333333333,95.2,28.0,,5.714285714285714,1.9833333333333335e-06,,0.0007157894736842105,18.237547892720304,183.07692307692307,,,,0.061277033985581875,7.67741935483871,29.20245398773006,,,196.69421487603307,,6.8,68.78612716763006,,19.116465863453815,0.7449139280125195,13.538260947952521,0.2833333333333333,10.696629213483146,0.425,66.11111111111111,0.616580310880829,,,60.25316455696202,,176.29629629629628,0.0005854858548585486,6.676016830294531,97.74127310061601,0.08026981450252951,,138.77551020408163,371.875,0.11360381861575179,3.4244604316546763,0.05288888888888889,26.89265536723164,2.0695652173913044,28.333333333333332,36.06060606060606,,0.10793650793650794,,0.9814432989690721,,,,0.371875,0.09674796747967479,41.75438596491228,,7.4375,10.170940170940172
1933,,1.8801652892561984,,16.666666666666668,4.945652173913044,0.8852140077821011,3.1597222222222223,3.905914670787192,14.967105263157896,70.65217391304347,76.85810810810811,,0.19117647058823528,9.538784067085953,1.0317460317460319,0.3760330578512397,58.10983397190294,11.375,99.1285403050109,0.1784313725490196,892.156862745098,2.84375,473.95833333333337,1.8495934959349594e-05,30.333333333333332,23.94736842105263,91.0,28.4375,,5.129650507328072,1.6605839416058394e-06,,0.0005371900826446281,14.353312302839116,185.7142857142857,,,,0.0992150021805495,7.109375,27.743902439024392,,,175.67567567567568,,5.352941176470588,65.7514450867052,,20.871559633027523,0.7374392220421394,11.790774132051146,0.26453488372093026,10.17897091722595,0.2708333333333333,78.3132530120482,0.5893782383419689,,,58.333333333333336,,175.0,0.0005818414322250639,7.495881383855024,104.59770114942529,0.039224137931034485,,140.86687306501548,350.0,0.10859188544152745,3.226950354609929,0.04026548672566372,31.59722222222222,8.03886925795053,27.409638554216865,36.99186991869919,,0.10317460317460317,,0.5278422273781903,,,,0.34210526315789475,0.09247967479674797,42.129629629629626,,5.112359550561798,9.722222222222223
1934,,0.7951807228915663,,16.65615141955836,6.0,1.0232558139534884,2.6802030456852792,4.834722095046241,15.393586005830905,90.41095890410959,74.36619718309859,,0.19924528301886793,10.173410404624278,1.1403887688984882,0.43636363636363634,58.27814569536424,13.538461538461538,113.79310344827587,0.2246808510638298,977.7777777777777,2.764397905759162,479.99999999999994,1.8992805755395684e-05,35.2,29.333333333333332,105.6,29.333333333333332,,5.776805251641138,1.8992805755395684e-06,,0.0004714285714285714,13.266331658291458,219.08713692946057,,,,0.16614222781623664,7.880597014925373,28.695652173913047,49.345794392523366,,204.65116279069767,11.553610503282275,6.211764705882353,66.92015209125475,,11.707317073170731,0.9214659685863874,18.20837445921964,0.2467289719626168,9.513513513513514,0.3363057324840764,53.822629969418955,0.6839378238341969,,,90.72164948453607,,196.2825278810409,0.0006883963494132986,9.496402877697841,129.7297297297297,0.04512820512820513,,159.51661631419938,379.8561151079137,0.12601431980906921,3.6923076923076925,0.03428571428571429,33.63057324840764,10.864197530864198,33.0,41.25,,0.11972789115646258,,0.4591304347826087,,,,0.2600985221674877,0.11046025104602511,40.0,,5.739130434782608,8.712871287128714
1935,,1.0979284369114877,,19.897610921501705,7.024096385542169,1.3219954648526078,1.9052287581699345,5.719611498086922,16.104972375690608,93.7299035369775,81.7671809256662,0.0023413654618473895,0.2523809523809524,11.320388349514563,1.2591792656587473,0.37857142857142856,66.17480136208853,12.955555555555556,131.01123595505618,0.23043478260869565,1166.0,2.9744897959183674,588.8888888888889,2.5458515283842795e-05,38.86666666666667,44.84615384615385,116.6,34.294117647058826,,6.309523809523809,2.1917293233082707e-06,,0.0005205357142857143,16.51558073654391,236.9918699186992,,,,0.23622366288492708,8.44927536231884,31.344086021505372,50.69565217391305,,235.08064516129033,22.95275590551181,6.477777777777778,72.60273972602741,,19.114754098360656,1.0174520069808028,18.811466702951897,0.2789473684210526,17.82874617737003,0.37133757961783437,62.553648068669524,0.7551813471502591,,,98.31365935919057,,220.83333333333331,0.0007041062801932367,14.082125603864736,128.41409691629957,0.04982905982905983,,192.40924092409242,438.3458646616541,0.13219954648526078,4.020689655172414,0.02830097087378641,41.94244604316547,11.476377952755906,37.13375796178344,45.1937984496124,,0.13219954648526078,,0.5252252252252252,,,,0.31344086021505374,0.12222222222222222,42.2463768115942,,6.072916666666667,12.457264957264957
1936,,0.708779443254818,,21.423948220064727,10.184615384615384,1.4646017699115044,2.4428044280442807,6.494653193367998,20.495356037151705,100.76103500761035,91.68975069252078,0.0026586345381526106,0.3009090909090909,12.904483430799221,1.5011337868480725,0.30648148148148147,76.88734030197445,14.71111111111111,143.91304347826087,0.2381294964028777,1273.076923076923,3.0934579439252334,655.4455445544554,3.521276595744681e-05,41.375,44.13333333333333,132.4,33.1,,7.258771929824561,2.2440677966101694e-06,,0.0005910714285714285,23.898916967509027,266.93548387096774,,,0.0006860103626943005,0.31857555341674687,9.194444444444445,38.26589595375722,45.6551724137931,,258.59375,20.0,6.365384615384615,83.58585858585859,0.23642857142857143,30.36697247706422,1.155322862129145,24.313458118489578,0.2853448275862069,21.015873015873016,0.4472972972972973,91.94444444444444,0.8575129533678757,,,103.76175548589342,,310.79812206572774,0.0007227074235807861,13.537832310838446,133.46774193548387,0.056581196581196584,,227.4914089347079,521.259842519685,0.15990338164251208,4.503401360544218,0.045655172413793105,55.63025210084034,10.030303030303031,41.63522012578616,52.53968253968254,,0.15011337868480726,,0.6490196078431373,,,,0.3213592233009709,0.13936842105263159,54.710743801652896,,6.12962962962963,14.145299145299147
1937,,0.17290167865707434,,23.795379537953796,11.265625,1.642369020501139,2.1205882352941177,7.617538298996302,22.88888888888889,105.10204081632652,103.0,0.003277272727272727,0.3277272727272727,13.70722433460076,1.6349206349206349,0.26802973977695166,85.32544378698226,16.767441860465116,154.05982905982907,0.22961783439490446,1386.5384615384614,2.4440677966101694,643.7499999999999,4.027932960893855e-05,45.0625,48.06666666666667,144.2,32.77272727272727,,8.31603229527105,2.114369501466276e-06,,0.00064375,25.03472222222222,419.1860465116279,,,0.0007471502590673575,0.3605,9.613333333333333,35.34313725490196,40.965909090909086,,281.640625,18.392857142857142,5.462121212121212,89.6766169154229,,31.902654867256636,1.0907715582450832,26.295692277335583,0.27519083969465646,21.205882352941178,0.4743421052631579,67.38317757009347,0.9339378238341969,,,109.74124809741248,,294.2857142857143,0.0006269565217391304,14.565656565656566,153.73134328358208,180.25,,250.34722222222223,554.6153846153846,0.17415458937198067,4.241176470588235,0.04972413793103448,57.68,13.68121442125237,44.50617283950618,56.328125,,0.1634920634920635,,0.6008333333333333,,,,0.26605166051660517,0.1521097046413502,66.75925925925925,,5.006944444444445,14.220907297830374
1938,,0.11810193321616871,,19.31034482758621,10.181818181818182,1.5238095238095237,2.4615384615384617,7.69142726336271,25.747126436781606,87.27272727272727,88.30486202365309,0.0030545454545454548,0.2909090909090909,11.707317073170731,1.5238095238095237,0.3111111111111111,81.35593220338983,15.627906976744185,128.2442748091603,0.22178217821782178,1344.0,2.986666666666667,628.0373831775701,4.3636363636363636e-05,42.0,61.09090909090909,168.0,30.545454545454547,,8.484848484848484,2.1538461538461538e-06,,0.0006,26.987951807228917,384.0,,0.23745583038869258,0.0006963730569948186,0.3745819397993311,8.727272727272727,34.81865284974093,50.909090909090914,,234.14634146341461,14.857395533937654,6.461538461538462,84.52830188679245,,29.344978165938866,1.0166414523449319,18.97566319648984,0.30684931506849317,17.872340425531913,0.4280254777070064,81.95121951219512,0.8704663212435233,,,97.81659388646288,,277.68595041322317,0.0007715269804822044,12.947976878612717,128.0,224.0,,210.0,490.51094890510944,0.16926952141057935,3.184834123222749,0.04869565217391304,49.411764705882355,3.8181818181818183,46.3448275862069,54.193548387096776,,0.1523809523809524,,0.7202572347266881,,,,0.27883817427385893,0.1423728813559322,65.88235294117648,,6.588235294117647,11.089108910891088
