#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
2,Just a Man,Troy,Just a Man | EPIC: The Musical Animatic,toasty 🍞,2792,0,18,2:46,2024-11-26,https://www.youtube.com/watch?v=okQzGICC0FI
2,Just a Man,Troy,Just a Man - EPIC: The Musical Animatic,mircsy,563295,20435,390,2:31,2023-04-04,https://www.youtube.com/watch?v=flhGzGRsiP0
2,Just a Man,Troy,Just A Man // EPIC the musical animatic,Wholetmothhyperfix,18439,0,44,2:27,2024-04-27,https://www.youtube.com/watch?v=On7_bSx0UZk
2,Just a Man,Troy,Just a Man Animatic (Epic the Musical),ElliamArts,52244,1773,78,2:28,2023-02-16,https://www.youtube.com/watch?v=8wMAZtjdkQQ
2,Just a Man,Troy,Just a man [EPIC: THE MUSICAL] Full Animatic,Gelss,1135,54,6,2:31,2023-05-17,https://www.youtube.com/watch?v=7NHOmQR5xI0
2,Just a Man,Troy,Just a Man | EPIC: The Musical Animatic,Tristan Lourenço,2799,245,17,2:31,2025-04-04,https://www.youtube.com/watch?v=4Ieh2Q7K_AQ
2,Just a Man,Troy,Just a Man | EPIC: The Musical | Updated Audio,WolfyTheWitch,60385,8678,238,2:33,2025-04-12,https://www.youtube.com/watch?v=evjgLPHnW24
2,Just a Man,Troy,Just A Man -  Epic the Musical animatic,krisandthebluesurgeons,5852,573,48,2:39,2025-04-07,https://www.youtube.com/watch?v=bekqLgEy7bA
2,Just a Man,Troy,Just A Man [EPIC: The Musical],Esdarella,1309,88,6,2:39,2024-10-30,https://www.youtube.com/watch?v=6CWUN0HY0Bc
2,Just a Man,Troy,Just A Man|Epic The Musical animatic,I Dont Even Know,558,30,5,2:31,2023-03-10,https://www.youtube.com/watch?v=iN6_zQfWrr8
2,Just a Man,Troy,Just a man || EPIC: The Musical || Animatic || Omg its my first time doing the whole song,Vanic,718,55,11,2:31,2024-12-12,https://www.youtube.com/watch?v=3zGGUeV83eY
2,Just a Man,Troy,Just A Man | EPIC : The musical Troy Saga animatic,Lytcadrahc,368,17,4,2:29,2025-07-31,https://www.youtube.com/watch?v=PMI-S3ooRdk
2,Just a Man,Troy,Just a man | EPIC: The Musical | Animation,OmarDiArt18,181,14,6,2:31,2025-03-16,https://www.youtube.com/watch?v=0EUPr7AxBpU
2,Just a Man,Troy,Just A Man | Epic: The Musical Animatic,DoubleXPulse,526,41,6,2:28,2025-08-27,https://www.youtube.com/watch?v=iasaxU_Lk3U
2,Just a Man,Troy,Just A Man Animatic | Epic: The Musical,JENJO III,14559,1853,90,2:51,2025-09-20,https://www.youtube.com/watch?v=XHFROYOf1AU
2,Just a Man,Troy,Just a Man Animatic| Epic: The Musical,Calladraws,74690,6402,185,2:38,2025-10-17,https://www.youtube.com/watch?v=fwz1Y7NiA24
2,Just a Man,Troy,JUST A MAN | EPIC The Musical | ANIMATION,virtue,54572,6860,388,2:40,2025-10-24,https://www.youtube.com/watch?v=S3CuIvP783I
2,Just a Man,Troy,Epic  - Just a Man Animatic,LittleLeo,4316,372,67,2:30,2026-02-16,https://www.youtube.com/watch?v=KsoF2frbqhM
2,Just a Man,Troy,Just a man || EPIC Animatic ||,CyndiToons,1688,71,6,2:35,2026-02-20,https://www.youtube.com/watch?v=0qgKfGJxZWY
2,Just a Man,Troy,Just A Man | Epic: The Musical Fan-Animatic,Hanna Holovata,28,7,11,2:32,2026-03-24,https://www.youtube.com/watch?v=iu2L5J_9Hng
2,Just a Man,Troy,Just A Man || Epic The Musical || Fan Animatic,Rose Animation ,37,2,0,2:26,2026-03-30,https://www.youtube.com/watch?v=cpJR_7iJJIw
3,Full Speed Ahead,Troy,Full Speed Ahead | EPIC: The Musical | Updated Audio,WolfyTheWitch,762022,12253,182,3:00,2025-04-12,https://www.youtube.com/watch?v=5NDW9cHZQAg
3,Full Speed Ahead,Troy,Full Speed Ahead | EPIC: The Musical ANIMATIC,Mejillustrates,108532,3807,92,3:19,2024-07-05,https://www.youtube.com/watch?v=hws0Ie7LqzA
