#,Song Title,Saga,Video Title,Artist,Views,Likes,Comments,Duration,Uploaded Date,link
12,Keep Your Friends Close,Ocean,EPIC: Keep your Friends Close | EPIC: The Musical animatic,Esdarella,4183,213,23,4:16,2024-10-12,https://www.youtube.com/watch?v=ez-N6a1NLc4
12,Keep Your Friends Close,Ocean,Epic the Musical Keep your Friends Close: Animatic,Catyo90,4263,244,18,4:10,2024-10-20,https://www.youtube.com/watch?v=ZBuYqrMH_i0
12,Keep Your Friends Close,Ocean,Fan animation keep your friends close (Epic the musical),Barbarbam,352,24,2,4:10,2025-06-01,https://www.youtube.com/watch?v=MkMfL1Z60NM
12,Keep Your Friends Close,Ocean,"""Keep Your Friends Close"" Epic the Musical Fan Animatic",Kandace Art ,31110,3166,138,4:15,2025-07-20,https://www.youtube.com/watch?v=NmMvjVKajhY
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC The Musical Animatic,lightofthedeep,312109,13061,325,4:08,2025-06-18,https://www.youtube.com/watch?v=Ebkq8GOr6X0
12,Keep Your Friends Close,Ocean,Keep your friends close | epic the musical | animatic,Count me IN 3,506,56,17,4:06,2025-08-23,https://www.youtube.com/watch?v=qzeBejoi1wc
12,Keep Your Friends Close,Ocean,Keep Your Friends Close | EPIC The Musical Animatic,The Traveling Pen,1532,171,37,4:08,2026-03-11,https://www.youtube.com/watch?v=vHP9jcak4UI
13,Ruthlessness,Ocean,Ruthlessness | EPIC The Musical | Animatic,AnniFlamma,8195836,147998,5914,4:35,2023-12-30,https://www.youtube.com/watch?v=0IsYf_0UGLE
13,Ruthlessness,Ocean,Ruthlessness | Epic: The Musical Animatic,Neal Illustrator,8168591,225836,6979,4:35,2024-08-16,https://www.youtube.com/watch?v=WOgxiS33tME
13,Ruthlessness,Ocean,Ruthlessness | EPIC: The Musical ANIMATIC,gigi,6870374,141991,3527,4:54,2024-02-23,https://www.youtube.com/watch?v=skVSbITX4kY
13,Ruthlessness,Ocean,RUTHLESSNESS | EPIC The Musical ANIMATIC,BrittPowwPixel,366861,9544,256,4:37,2024-04-05,https://www.youtube.com/watch?v=nQAvZ8UMedk
13,Ruthlessness,Ocean,"""Ruthlessness"" FAN ANIMATIC - Full - Epic the Musical",Tamatama,278327,11830,727,4:43,2024-06-22,https://www.youtube.com/watch?v=grTNCeQa6Bs
13,Ruthlessness,Ocean,RUTHLESSNESS : EPIC the Musical Animatic,TacoDraws,135798,7786,243,4:59,2024-08-02,https://www.youtube.com/watch?v=INb-2Q9lFMg
13,Ruthlessness,Ocean,Ruthlessness - EPIC: The Musical (Animatic),TheeArteest,112097,6234,304,4:27,2024-08-22,https://www.youtube.com/watch?v=OnZtHplFPCA
13,Ruthlessness,Ocean,Ruthlessness (EPIC: The Musical Animatic),Ryuso Art,106122,4500,189,4:31,2024-01-08,https://www.youtube.com/watch?v=AEVZo9xEoc0
13,Ruthlessness,Ocean,Ruthlessness - EPIC: The Musical FULL ANIMATION,Danae,81101,8102,379,4:22,2025-05-02,https://www.youtube.com/watch?v=qn5nXRMwpqI
13,Ruthlessness,Ocean,Ruthlessness || EPIC: The Musical • Animatic,hellith,71948,5812,515,4:21,2025-03-16,https://www.youtube.com/watch?v=wW_F90P9yvA
13,Ruthlessness,Ocean,RUTHLESSNESS - Epic: The Musical Animatic,mikuchis,52996,4805,197,4:41,2024-08-02,https://www.youtube.com/watch?v=wAVQK7_lFw0
13,Ruthlessness,Ocean,RUTHLESSNESS ANIMATIC (EPIC: The Musical),Faysherbs,40490,3756,261,4:23,2025-07-16,https://www.youtube.com/watch?v=Z_tdvawf5pc
13,Ruthlessness,Ocean,Ruthlessness | EPIC: The Musical Fan-Animatic,Berry Awesome Camden,32462,2218,174,4:26,2024-07-07,https://www.youtube.com/watch?v=qalqWWalx0g
13,Ruthlessness,Ocean,Ruthlessness // Epic the musical // Slight FW,Mystical Love,28115,1914,93,4:35,2024-02-28,https://www.youtube.com/watch?v=NT45TXSA2PI
13,Ruthlessness,Ocean,Ruthlessness [EPIC the Musical],HAH Studios,24817,1099,165,5:36,2025-04-02,https://www.youtube.com/watch?v=oC504oMV6l0
13,Ruthlessness,Ocean,Ruthlessness  [ EPIC: The Musical ] Animatic/Storyboard,Hana Al-Aride,17419,963,44,4:20,2024-02-26,https://www.youtube.com/watch?v=lkGSnzgRD40
30,God Games,Wisdom,God Games full animatic!(RUTHLESSNESS IS NOT MERCY UPON ME PLEASE BE GENTLE),Tatania3070,16056,1541,128,5:37,2024-10-12,https://www.youtube.com/watch?v=hyZ5c3ZWCt0
13,Ruthlessness,Ocean,Ruthlessness | EPIC: The Musical Animatic by Jerrynkton,Jerrynkton,1662,78,13,4:23,2024-08-15,https://www.youtube.com/watch?v=J6ljsRufYbc
13,Ruthlessness,Ocean,RUTHLESSNESS: An Epic Animatic [REUPLOAD],wendi_draws,885,0,4,4:21,2025-01-05,https://www.youtube.com/watch?v=YH648UyAiBI
13,Ruthlessness,Ocean,Ruthlessness || Epic the musical Animatic||,Spontanius,163,8,0,4:35,2025-10-18,https://www.youtube.com/watch?v=Gk85na5PE88
13,Ruthlessness,Ocean,RUTHLESSNESS | EPIC THE MUSICAL ANIMATIC,Kizrys Corner ,97,10,2,4:18,2026-02-28,https://www.youtube.com/watch?v=16HVNlYk-U0
14,Puppeteer,Ocean,Puppeteer | EPIC: The Musical ANIMATIC,gigi,11385582,186914,4797,4:21,2024-03-30,https://www.youtube.com/watch?v=tso8nSWnENM
14,Puppeteer,Ocean,Puppeteer Animatic | EPIC: The Musical,Smoolio,716670,51207,1405,4:29,2025-01-05,https://www.youtube.com/watch?v=osP3cnvP6u8
14,Puppeteer,Circe,Puppeteer / EPIC: The Musical _Animatic,Ximena Natzel,1623385,44564,875,4:21,2024-03-30,https://www.youtube.com/watch?v=lxjISgoUr74
14,Puppeteer,Circe,Puppetteer animatic | Epic: The musical,Natashiii,8797,440,20,4:16,2024-08-10,https://www.youtube.com/watch?v=TgMiLFD21_0
14,Puppeteer,Circe,Puppeteer | An EPIC: The Musical (Circe Saga) Animatic,Lampyrcy,165834,6433,183,4:14,2024-02-19,https://www.youtube.com/watch?v=i0Yg9VJxxeQ
14,Puppeteer,Circe,Puppeteer || EPIC: The Musical || animatic,Yon Hara,19593,1733,43,2:45,2025-05-08,https://www.youtube.com/watch?v=pvd0B69Pgvc
14,Puppeteer,Circe,PUPPETEER { EPIC: The Musical Animatic},Felixfeliccis,25821,3842,202,4:12,2026-03-03,https://www.youtube.com/watch?v=JpXDjRIfFyU
15,Wouldn't You Like,Circe,Wouldn't You Like || EPIC: The Musical Animatic,Laritamiauu,4767757,121405,2937,3:08,2024-10-18,https://www.youtube.com/watch?v=1lke4HP4j8o
15,Wouldn't You Like,Circe,Wouldn't You Like || EPIC the musical [ANIMATIC],Koki Omi,1439392,37878,523,3:02,2024-11-15,https://www.youtube.com/watch?v=a6U2NI6_390
15,Wouldn't You Like,CIrce,Wouldn't You Like / EPIC: The Musical Animatic,Ximena Natzel,8654836,139700,4258,3:02,2024-02-21,https://www.youtube.com/watch?v=sHyL528ZuBY
15,Wouldn't You Like,Circe,Wouldn’t You Like || EPIC: The Musical || Animatic,plasmoronic,46215,4707,233,2:54,2024-12-27,https://www.youtube.com/watch?v=1-chRi5VB2Y
15,Wouldn't You Like,Circe,WOULDN'T YOU LIKE : EPIC the Musical Animatic,TacoDraws,70400,5804,202,3:22,2025-01-11,https://www.youtube.com/watch?v=NycWjfZi4Mc
15,Wouldn't You Like,Circe,Wouldn't You Like | EPIC : The musical | Animatic,Avalanchee,290353,13296,257,3:00,2024-04-25,https://www.youtube.com/watch?v=6xtrNoyXh3k
15,Wouldn't You Like,Circe,Wouldn’t You Like | EPIC: The Musical | Animatic,JJCatos,20170,2304,112,3:10,2025-02-14,https://www.youtube.com/watch?v=aj1jhwAwues
15,Wouldn't You Like,CIrce,Wouldn't You Like [EPIC: The Musical] Full Animatic,Scilla nimation,466978,10537,187,2:52,2024-03-09,https://www.youtube.com/watch?v=XGDlTPjTDpo
15,Wouldn't You Like,Circe,Wouldn't you like - EPIC the Musical fan Animatic,Exesaturated,20163,2414,94,2:53,2024-11-04,https://www.youtube.com/watch?v=sSni_1t985M
15,Wouldn't You Like,Circe,Wouldn't You Like? | EPIC The Musical [ANIMATIC],Bymel!,117191,5413,193,3:02,2025-04-08,https://www.youtube.com/watch?v=b2yGBjoJnbo
15,Wouldn't You Like,Circe,WOULDN'T YOU LIKE // FULL ANIMATIC — Epic: the Musical,Blacccat,43717,5287,146,2:52,2025-02-27,https://www.youtube.com/watch?v=NdGl4GCBv9k
15,Wouldn't You Like,CIrce,Epic the Musical | Wouldn't You Like | FULL ANIMATIC,Colorblind Cartoons,32853,1804,126,3:15,2024-08-30,https://www.youtube.com/watch?v=kXVTIxVdFWI
15,Wouldn't You Like,Circe,Wouldn’t you like | Epic: The Musical,Crashite,344604,19277,775,3:00,2024-04-19,https://www.youtube.com/watch?v=dLim8hKjX_M
15,Wouldn't You Like,Circe,Wouldn't you like (EPIC: The Musical Animatic),Ryuso Art,61544,3241,140,2:59,2024-03-05,https://www.youtube.com/watch?v=mDpONnAX2Ic
15,Wouldn't You Like,Circe,WOULDN’T YOU LIKE—EPIC The Musical Animatic,ChromechAAA,63383,3630,61,2:53,2024-04-28,https://www.youtube.com/watch?v=lGa3lhVVEMo
15,Wouldn't You Like,Circe,Wouldn’t You Like // EPIC: The Musical Animatic,Forr,21014,3674,189,2:52,2025-04-25,https://www.youtube.com/watch?v=pQSkh5AgnWA
15,Wouldn't You Like,Circe,Wouldn’t You Like Animatic,Skystep1,4588,390,22,2:54,2025-05-03,https://www.youtube.com/watch?v=-PYQPCSGPcM
15,Wouldn't You Like,Circe,Wouldn't You Like [EPIC:THE MUSICAL] || Animatic (Student Project),Zilly dot(Hako),311672,31385,640,3:17,2025-05-18,https://www.youtube.com/watch?v=F8JkAL2Mt9o
15,Wouldn't You Like,Circe,Wouldn’t You Like | Epic: The Musical | Animatic,LizLiZzard,2210,220,21,3:02,2025-06-09,https://www.youtube.com/watch?v=V_Q6PVLte9M
15,Wouldn't You Like,Circe,Wouldn’t You like (EPIC:THE MUSICAL)  |  Animatic (student project),Fuqlifenicemusic,78148,6297,197,3:29,2025-05-21,https://www.youtube.com/watch?v=jAxvh9Aollk
15,Wouldn't You Like,Circe,Wouldn't you like - EPIC the musical,cepitulin,1046,74,24,3:05,2025-07-23,https://www.youtube.com/watch?v=PO1B9Nu2q28
15,Wouldn't You Like,Circe,Wouldn't You Like | EPIC: The Musical animatic,Orange,142401,14434,709,3:04,2025-07-25,https://www.youtube.com/watch?v=jgeDpwI9tN4
15,Wouldn't You Like,Circe,Wouldn't You Like || EPIC: The Musical ANIMATIC,sippher,123219,7490,156,2:55,2025-07-24,https://www.youtube.com/watch?v=e0tqQ_8L7yg
15,Wouldn't You Like,Circe,Wouldn’t You Like EPIC: The Muscial [Animatic],Squeakyduck5000,2499,191,32,2:53,2025-03-30,https://www.youtube.com/watch?v=SAaB7-M-7wk
15,Wouldn't You Like,Circe,Wouldn’t You Like? II An Epic the Musical animatic,Junebug Draws,380,21,0,2:54,2025-01-13,https://www.youtube.com/watch?v=_axb17hWeT8
15,Wouldn't You Like,Circe,Wouldn't you like - EPIC: The Musical (Animatic),GhostLee,121496,13980,236,3:01,2024-10-13,https://www.youtube.com/watch?v=GXNzZ0eJYXE
15,Wouldn't You Like,Circe,Wouldn’t you like | EPIC: The Musical ANIMATIC,Kairoo,6513,268,10,2:55,2024-07-05,https://www.youtube.com/watch?v=EYX1ANrLl5o
15,Wouldn't You Like,Circe,Wouldn't You Like? | EPIC: The musical Animatic,Lunartoons,841,77,13,2:55,2024-12-11,https://www.youtube.com/watch?v=HlmMuc0oOEY
15,Wouldn't You Like,Circe,✨️Wouldn't You Like✨️//Epic the Musical Animation,Ramen Noodles Studio,20068,1700,43,2:54,2024-10-24,https://www.youtube.com/watch?v=3Lh5q4G8-BE
15,Wouldn't You Like,Circe,Wouldn't You Like || Animatic / Storyboarding || Epic The Musical,Angelbite,78,3,1,3:13,2025-08-09,https://www.youtube.com/watch?v=3OVM4Bg0sYM
15,Wouldn't You Like,Circe,Wouldn’t You Like (Fan Animation) | EPIC the musical,Slander,7328724,267763,6085,2:53,2025-08-14,https://www.youtube.com/watch?v=NGD9GJd4e3g
15,Wouldn't You Like,CIrce,Wouldn't You Like [Epic The Musical] - Animatic (Student Project),Wittayu.,10542,1120,47,3:13,2025-05-21,https://www.youtube.com/watch?v=qLVDbMQc9wM
15,Wouldn't You Like,Circe,Wouldn't You Like – EPIC: The Musical || Animatic,Nessa,2216,264,36,3:08,2025-09-16,https://www.youtube.com/watch?v=0KGVNBBMWUM
15,Wouldn't You Like,Circe,Wouldn’t you Like animatic (EPIC THE MUSICAL),BAMBI,256,25,6,2:55,2025-09-14,https://www.youtube.com/watch?v=tq3WrUoe_ow
15,Wouldn't You Like,CIrce,Wouldn't you like?//Animatic,Bear Art,362,33,12,2:46,2025-11-13,https://www.youtube.com/watch?v=mE90Zf8hYJ4
15,Wouldn't You Like,CIrce,Wouldn't You Like - EPIC The Musical Animatic | unknowlence,unknowlence,62009,4306,133,2:55,2024-06-29,https://www.youtube.com/watch?v=NdCUQhIZDEE
15,Wouldn't You Like,Circe,Wouldn't You Like: EPIC Animatic,beeoboo,32294,3742,152,2:59,2025-12-17,https://www.youtube.com/watch?v=q5RT1lyvftI
15,Wouldn't You Like,Circe,"""wouldn't you like"" full animatic",AinZyyy,7,1,0,2:55,2026-03-30,https://www.youtube.com/watch?v=oCwBQfscGHk
16,Done For,Circe,Done For | EPIC The Musical | Animatic,AnniFlamma,9734086,113066,1634,2:45,2024-02-27,https://www.youtube.com/watch?v=fnvKBq_4FuY
16,Done For,Circe,"""Done For"" ANIMATIC || EPIC the Musical: Circe Saga",NS2D Studios,407914,11874,398,2:32,2024-03-20,https://www.youtube.com/watch?v=yZPdLJZW0V0
16,Done For,Circe,Done For | EPIC: The Musical ANIMATIC,Esha,2247698,31836,592,2:26,2024-05-19,https://www.youtube.com/watch?v=2_vn-CHWac4
16,Done For,Circe,Done For - Circe Epic Animatic – PyWrite,PyWrite,951992,18729,238,2:47,2025-03-28,https://www.youtube.com/watch?v=NriGBMLmWkU
16,Done For,Circe,Done For | EPIC: The Musical Animatic,Niddy Griddy,3271,179,14,2:41,2025-04-14,https://www.youtube.com/watch?v=cGmJTZalRuI
16,Done For,Circe,Done For - EPIC: The Musical [ANIMATIC],Lyndsomg,17171,1261,38,2:36,2024-08-26,https://www.youtube.com/watch?v=xMmDdEFvwwI
16,Done For,Circe,Done For | EPIC: The Musical | Animatic,nikkidoodless,53880,2037,52,2:33,2024-05-31,https://www.youtube.com/watch?v=vxnb4wuR4Fw
16,Done For,Circe,Done for | EPIC: The Musical | Animatic,Kairoo,2475,107,5,2:27,2024-08-19,https://www.youtube.com/watch?v=OKuXsIOlQpE
16,Done For,Circe,Done For | EPIC: The Musical - Animatic,Juu,31416,1495,32,2:37,2024-03-03,https://www.youtube.com/watch?v=a-Fsl5uEZUk
16,Done For,Circe,Done For | An EPIC: The Musical (Circe Saga) Animatic,Lampyrcy,104758,3290,87,2:31,2024-03-12,https://www.youtube.com/watch?v=0K-QXMgIG8Y
16,Done For,Troy,Done For | Epic:The Musical Animatic,artistxgrotto,42750,2786,60,2:26,2024-06-07,https://www.youtube.com/watch?v=jB456Gq37fk
16,Done For,Circe,Done For | Epic The Musical Animatic [FULL],Owlsswans,1817,151,11,2:27,2025-02-06,https://www.youtube.com/watch?v=ajEll0kvC78
16,Done For,Circe,DONE FOR | Epic: The Musical | Animatic [Full],Milllyra,40271,3024,107,2:28,2025-05-11,https://www.youtube.com/watch?v=fNjAB1TAPYo
16,Done For,CIrce,Done for | EPIC: The Musical Animatic (Student Project),Gruichai,123617,11832,256,2:44,2025-05-19,https://www.youtube.com/watch?v=hHLHBt-tyJc
16,Done For,Circe,DONE FOR  [Epic The Musical] - animatic (Student Project),Nichaphat wongyong,227647,14940,241,2:48,2025-05-18,https://www.youtube.com/watch?v=s4FdemC5JHo
16,Done For,Circe,Done for || Epic The Musical | Animatic (Student Project),yashies,19111,1407,50,2:42,2025-05-21,https://www.youtube.com/watch?v=2F-iHpyBG3E
16,Done For,Circe,Done For (EPIC: The Musical Animatic),Ryuso Art,27510,1562,41,2:30,2024-02-17,https://www.youtube.com/watch?v=bf7g1D-D9CI
16,Done For,Circe,Done For [EPIC the Musical],HAH Studios,7924,355,52,2:31,2025-07-31,https://www.youtube.com/watch?v=eOGNnC_nXB0
16,Done For,Circe,Done for epic the musical animatic,Joshie-lemon553,2099,105,38,2:49,2025-08-14,https://www.youtube.com/watch?v=DorxZrmx1CY
16,Done For,Circe,Done For | Epic: The Musical | Full Animatic,ren,10728,1063,55,2:27,2025-08-25,https://www.youtube.com/watch?v=OE3bVErksEg
16,Done For,Circe,Done For  Animatic - Krumb,Krumb,4062,435,24,2:31,2025-04-08,https://www.youtube.com/watch?v=SryeKJH5Zzc
16,Done For,Circe,DONE FOR | Epic: The Musical animatic,BirbMonster,1328,85,14,2:34,2025-10-31,https://www.youtube.com/watch?v=8E1T9q4lfGA
17,There Are Other Ways,Circe,There Are Other Ways | EPIC: The Musical ANIMATIC,gigi,13331044,236325,6042,3:45,2024-06-30,https://www.youtube.com/watch?v=NM_Kg0I29Bs
17,There Are Other Ways,Circe,"""There Are Other Ways"" FULL ANIMATIC || EPIC the Musical: Circe Saga",NS2D Studios,396618,15092,478,4:03,2024-06-18,https://www.youtube.com/watch?v=qoeejaXX3WE
17,There Are Other Ways,Circe,There Are Other Ways | EPIC The Musical | Animatic,AnniFlamma,2362475,54173,1690,3:45,2024-05-12,https://www.youtube.com/watch?v=QEG4Zd87r5A
17,There Are Other Ways,Circe,There are other ways | Epic: The Musical,Crashite,468489,17235,331,3:32,2024-05-09,https://www.youtube.com/watch?v=FTn9daeRQNQ
17,There Are Other Ways,Circe,There Are Other Ways | EPIC THE MUSICAL | Full Animatic,NERDTROVERT,42320,1186,72,4:04,2024-07-07,https://www.youtube.com/watch?v=5o_TxNBVoYk
17,There Are Other Ways,Circe,There Are Other Ways |  EPIC: The Musical Animatic (some flashes ⚠️),BrittPowwPixel,444390,7768,112,3:34,2024-07-02,https://www.youtube.com/watch?v=Rj-8n34ta3A
17,There Are Other Ways,Circe,There are other ways EPIC: The musical Animatic,Lunartoons,1568,0,10,3:27,2025-02-14,https://www.youtube.com/watch?v=2s17WTThMso
17,There Are Other Ways,Circe,There are other ways | EPIC: The Musical ANIMATIC (Student projects),DarkLord_Apollo,31317,3589,77,3:48,2025-05-19,https://www.youtube.com/watch?v=Ep6MyRJMd7s
17,There Are Other Ways,Circe,There Are Other Way | Epic The Musical | Animatic (Student Project),Bob,7086,620,31,3:51,2025-05-18,https://www.youtube.com/watch?v=mHkoBCBVo0E
17,There Are Other Ways,Circe,There Are Other Ways || EPIC : The Musical || Animatic (Student Project),Monthyz,118882,7368,98,3:45,2025-05-21,https://www.youtube.com/watch?v=vDLposTrkWE
17,There Are Other Ways,Circe,There are other ways - Epic the musical | Animatic -,PimPichc,1093645,85260,2123,3:52,2025-07-04,https://www.youtube.com/watch?v=6m5-SvPGyO4
17,There Are Other Ways,Circe,There Are Other Ways Animatic EPIC The Musical,aiko drawz,2055,120,23,3:25,2025-07-10,https://www.youtube.com/watch?v=CD_humyyocs
17,There Are Other Ways,Circe,There Are Other Ways | EPIC: The Musical Animatic,MOON,13877,586,19,3:37,2024-04-11,https://www.youtube.com/watch?v=zQ0ugxQXXdA
17,There Are Other Ways,Circe,There Are Other Ways [EPIC],HAH Studios,8543,419,47,3:33,2026-01-23,https://www.youtube.com/watch?v=WXErTHnM2lk
17,There Are Other Ways,Circe,There are other ways |  EPIC: The Musical animatic,moonx_tv,2498,250,47,3:00,2026-03-20,https://www.youtube.com/watch?v=AY65f8sEAtU
18,The Underworld,Underworld,The Underworld【EPIC：The musical｜Animatic】,ShiQing47,1677441,37040,772,4:15,2024-04-26,https://www.youtube.com/watch?v=DWDkfAccx0k
18,The Underworld,Underworld,The Underworld Animatic,The Traveling Pen,6493,411,18,4:10,2024-04-29,https://www.youtube.com/watch?v=ec99ESQt7fM
18,The Underworld,Underworld,The Underworld - EPIC: The Musical (Animatic),TheeArteest,1764299,33187,606,4:14,2024-05-02,https://www.youtube.com/watch?v=qAgQaIABD4A
18,The Underworld,Underworld,No Longer You (Epic the Musical: The Underworld Saga| Animatic/with captions),Jasper The Hybrid,53451,1902,88,2:48,2024-05-05,https://www.youtube.com/watch?v=FcggTUDfvEA
18,The Underworld,Underworld,THE UNDERWORLD ANIMATIC | EPIC: The Musical. ⚠️FLASH WARNING ⚠️,BrittPowwPixel,1736090,32120,482,4:17,2024-05-08,https://www.youtube.com/watch?v=aI-58B064ZY
18,The Underworld,Underworld,THE UNDERWORLD| the underworld saga| EPIC the musical animatic,Sonic_the_artist,22165,769,50,4:13,2024-05-17,https://www.youtube.com/watch?v=499_wir3Q8g
18,The Underworld,Underworld,The Underworld -  EPIC: the Musical -  Animatic,falperio05,85630,3831,220,4:45,2024-08-04,https://www.youtube.com/watch?v=t7zurHsC7eA
18,The Underworld,Underworld,The Underworld | EPIC the musical | animatic,clover,2955236,53964,1029,4:39,2025-03-01,https://www.youtube.com/watch?v=PbVJaMIrQ7g
18,The Underworld,Underworld,The Underworld | Epic: The Musical Animatic | Hazza,Hazza2404,1431,0,14,4:18,2025-04-23,https://www.youtube.com/watch?v=BsMquLdpfuM
18,The Underworld,Underworld,The Underworld -- Epic the Musical Animatic,PyWrite,39326,3134,108,4:39,2025-07-09,https://www.youtube.com/watch?v=Js4WNWX9LKE
18,The Underworld,Underworld,The Underworld | EPIC : The musical Underworld Saga animatic,Lytcadrahc,348,14,6,4:20,2025-09-02,https://www.youtube.com/watch?v=VTsMFOkNdMk
18,The Underworld,Underworld,The Underworld | Epic The Musical | Animatic | Flash Warning ⚠️,SkullD0gg0,260,19,7,4:20,2025-12-29,https://www.youtube.com/watch?v=br4Xw51Kvtg
18,The Underworld,Underworld,The Underworld [Epic The Musical] Animatic,Coffeebellz,152,11,3,4:16,2025-12-31,https://www.youtube.com/watch?v=TOw6tUnmGXQ
19,No Longer You,Underworld,No Longer You_EPIC: The Musical Animatic,Ximena Natzel,13353491,182982,2490,2:56,2024-05-02,https://www.youtube.com/watch?v=p_3IGTwcRik
19,No Longer You,Underworld,No Longer You - EPIC: The Musical (Animatic),PassingBySheep,532165,12617,231,2:55,2025-02-24,https://www.youtube.com/watch?v=cSMVFjgpPh0
19,No Longer You,Underworld,"""No Longer You"" FULL ANIMATIC || EPIC the Musical",NS2D Studios,1623805,36544,849,2:54,2024-04-29,https://www.youtube.com/watch?v=nFhaWBRvksA
19,No Longer You,Underworld,No Longer You || Epic The Musical,szin,320612,30482,1219,2:46,2025-04-04,https://www.youtube.com/watch?v=yOVQRFUwT3I
19,No Longer You,Underworld,NO LONGER YOU | Epic: The Musical Animatic | [FULL],Jojo Fraga,55337,6343,325,3:07,2025-04-29,https://www.youtube.com/watch?v=YEpeGB4v1MU
19,No Longer You,Underworld,No Longer You | Epic : The Musical (animatic),Camalemsy,836396,20118,382,2:50,2024-08-16,https://www.youtube.com/watch?v=s4PUUi1SQ8c
19,No Longer You,Underworld,No Longer You  |EPIC: the Musical Animatic| (Waltz),Rana Haurire,256164,13141,248,2:52,2025-02-11,https://www.youtube.com/watch?v=vGitLGnATuM
19,No Longer You,Underworld,No Longer You (EPIC: The Musical) - ANIMATIC [Slight Flash Warning],Krieo,1233509,24797,434,2:49,2024-05-04,https://www.youtube.com/watch?v=D3h6D1KoGKY
19,No Longer You,Underworld,No Longer You | EPIC: The Musical Animatic,GracesGalaxy,8853,492,33,2:46,2024-07-09,https://www.youtube.com/watch?v=uUnD5XWExaI
19,No Longer You,Underworld,No Longer You | Epic: the Musical ANIMATIC,taramels,11069,841,66,2:47,2025-03-26,https://www.youtube.com/watch?v=Rhvj18-4dAo
19,No Longer You,Underworld,NO LONGER YOU : EPIC the Musical Animatic,TacoDraws,14449,1153,72,3:20,2025-05-12,https://www.youtube.com/watch?v=tZmBFYux3Fo
19,No Longer You,Underworld,NO LONGER YOU | EPIC ANIMATIC,Randomnerdblogs,3763,317,19,2:46,2025-05-10,https://www.youtube.com/watch?v=HLqr25Ftdk0
19,No Longer You,Underworld,No Longer You | EPIC the Musical | Animatic,The Traveling Pen,92114,4496,52,2:34,2024-05-19,https://www.youtube.com/watch?v=v_BB7nQ9Dhs
19,No Longer You,Underworld,No longer you ||Epic the Musical Animatic|| School Project ||,ceaivărsat,106,5,2,2:42,2025-05-23,https://www.youtube.com/watch?v=Tvmfl3n8ElQ
19,No Longer You,Underworld,No Longer You - An EPIC The Musical Animatic,wells,52005,5549,144,2:52,2024-09-13,https://www.youtube.com/watch?v=eCN7zPR-Y6c
19,No Longer You,Underworld,No Longer You | EPIC: The Musical | Animatic,JJCatos,128477,7504,223,3:24,2025-07-12,https://www.youtube.com/watch?v=C85uQNiYJMA
19,No Longer You,Underworld,| No Longer You | Epic: the Musical full animatic,Eos,174,11,0,2:48,2024-08-25,https://www.youtube.com/watch?v=JxgJDyMms3k
19,No Longer You,Underworld,No Longer You [EPIC the Musical],HAH Studios,13617,655,92,2:54,2025-02-17,https://www.youtube.com/watch?v=AwpfzLPpd9I
19,No Longer You,Underworld,No Longer You [EPIC: The Musical] Animation,Memo,3880,0,12,2:44,2024-10-11,https://www.youtube.com/watch?v=uCgjVRyiY6U
19,No Longer You,Underworld,No Longer You - Epic The Musical,mikuchis,9820,1115,62,2:49,2024-08-24,https://www.youtube.com/watch?v=dasrn8rAUos
19,No Longer You,Underworld,No Longer You | Epic: the musical Animatic,Natashiii,2049,105,11,2:51,2024-10-13,https://www.youtube.com/watch?v=xBua7ELu76k
19,No Longer You,Underworld,No Longer You | EPIC: The Musical animatic,ravii★,2979,187,20,2:46,2025-06-07,https://www.youtube.com/watch?v=5Lta5xlW5W4
19,No Longer You,Underworld,NO LONGER YOU| The underworld saga| EPIC the musical animatic,Sonic_the_artist,22886,568,28,2:26,2024-05-05,https://www.youtube.com/watch?v=f_8-isxnYGQ
19,No Longer You,Underworld,No Longer You - EPIC: The Musical (Animatic),TheeArteest,23914,2516,80,2:46,2025-06-14,https://www.youtube.com/watch?v=xGGAwZkUROo
19,No Longer You,Underworld,No Longer You: EPIC THE MUSICAL - [Animatic],Tikag8 Bedoya,776,63,8,2:56,2024-08-12,https://www.youtube.com/watch?v=pwYpWPD71A4
19,No Longer You,Underworld,NO LONGER YOU: An Epic Animatic,wendi_draws,1609,0,3,2:48,2025-01-19,https://www.youtube.com/watch?v=c7gSDMM_qGA
19,No Longer You,Underworld,No Longer You | Epic: The Musical Animatic,The Creepy Toast God,15147,1065,54,2:57,2025-02-16,https://www.youtube.com/watch?v=uegZTpL3PA8
19,No Longer You,Underworld,No Longer You ~EPIC The Musical Animatic~,Mitsu Fuyuki,1225,125,10,2:48,2024-08-30,https://www.youtube.com/watch?v=-Y-SVWQvHWk
19,No Longer You,Underworld,No Longer You Animatic | Epic the Musical,Parker,3803,331,20,3:17,2024-07-04,https://www.youtube.com/watch?v=6okK3mH3MaI
19,No Longer You,Underworld,No Longer You || EPIC: The Musical animatic,Willows,1775304,51542,1197,2:46,2025-08-30,https://www.youtube.com/watch?v=qsFDBVbnwvo
19,No Longer You,Underworld,No Longer You | EPIC: The Musical Animatic [A Student Project],Samira Illustrator,5650,674,64,2:48,2025-10-09,https://www.youtube.com/watch?v=qP8xojNu-gg
