6,5,['c-', 'h-', 'l-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ot']
6,5,['c-', 'h-', 'm-', 'n-', 'r-', 's-'],['-ap', '-ay', '-od', '-ot', '-ow']
6,5,['c-', 'h-', 'm-', 'p-', 's-', 't-'],['-ad', '-ap', '-at', '-op', '-ot']
6,5,['c-', 'h-', 'm-', 'r-', 's-', 't-'],['-ad', '-ap', '-at', '-ot', '-ow']
6,5,['c-', 'h-', 'n-', 'p-', 'r-', 's-'],['-ap', '-ay', '-od', '-ot', '-ub']
6,5,['c-', 'h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ap', '-at', '-ot', '-ub']
6,5,['c-', 'l-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ot']
6,5,['ca-', 'co-', 'ha-', 'ma-', 'pa-', 'ra-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ha-', 'ma-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ha-', 'ma-', 'ra-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ha-', 'pa-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ha-', 'pa-', 'ra-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ha-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'he-', 'ma-', 'pa-', 'ra-'],['-d', '-n', '-p', '-w', '-y']
6,5,['ca-', 'co-', 'he-', 'ma-', 'pa-', 'so-'],['-d', '-n', '-p', '-w', '-y']
6,5,['ca-', 'co-', 'he-', 'ma-', 'ra-', 'so-'],['-d', '-n', '-p', '-w', '-y']
6,5,['ca-', 'co-', 'ho-', 'ma-', 'pa-', 'ra-'],['-d', '-n', '-p', '-t', '-w']
6,5,['ca-', 'co-', 'ho-', 'ma-', 'pa-', 'so-'],['-d', '-n', '-p', '-t', '-w']
6,5,['ca-', 'co-', 'ho-', 'ma-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w']
6,5,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ma-', 'pa-', 'ra-', 'to-'],['-n', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ma-', 'pa-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ma-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'ma-', 'ra-', 'so-', 'to-'],['-n', '-p', '-t', '-w', '-y']
6,5,['ca-', 'co-', 'pa-', 'ra-', 'so-', 'to-'],['-n', '-p', '-t', '-w', '-y']
6,5,['ca-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'ha-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'ha-', 'ma-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'ha-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'he-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-w', '-y']
6,5,['ca-', 'ho-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w']
6,5,['ca-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['ca-', 'ma-', 'pa-', 'ra-', 'so-', 'to-'],['-n', '-p', '-t', '-w', '-y']
6,5,['co-', 'ha-', 'ho-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-t', '-w']
6,5,['co-', 'ha-', 'la-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-w', '-y']
6,5,['co-', 'ha-', 'ma-', 'pa-', 'ra-', 'sa-'],['-d', '-p', '-t', '-w', '-y']
6,5,['co-', 'ha-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['co-', 'ha-', 'ma-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['co-', 'ha-', 'ma-', 'ra-', 'sa-', 'to-'],['-g', '-p', '-t', '-w', '-y']
6,5,['co-', 'ha-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['co-', 'he-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-w', '-y']
6,5,['co-', 'ho-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w']
6,5,['co-', 'ho-', 'ma-', 'pe-', 'ra-', 'to-'],['-g', '-n', '-p', '-t', '-w']
6,5,['co-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
6,5,['co-', 'ma-', 'pa-', 'ra-', 'so-', 'to-'],['-n', '-p', '-t', '-w', '-y']
6,5,['g-', 'h-', 'm-', 'n-', 'r-', 's-'],['-ag', '-ap', '-ay', '-od', '-ot']
6,5,['g-', 'h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-ay', '-od', '-ot']
6,5,['h-', 'j-', 'l-', 'm-', 'r-', 's-'],['-ag', '-aw', '-ay', '-ob', '-ot']
6,5,['h-', 'l-', 'm-', 'n-', 'r-', 's-'],['-ag', '-ap', '-ay', '-ot', '-ow']
6,5,['h-', 'l-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ot']
6,5,['h-', 'l-', 'm-', 'r-', 's-', 't-'],['-ad', '-ag', '-ap', '-ot', '-ow']
6,5,['h-', 'l-', 'n-', 'r-', 's-', 't-'],['-ag', '-ap', '-ip', '-ot', '-ow']
6,5,['ha-', 'ma-', 'pa-', 'ra-', 'sa-', 'so-'],['-d', '-p', '-t', '-w', '-y']
5,8,['b-', 'h-', 'm-', 'r-', 's-'],['-ad', '-ag', '-at', '-ay', '-ob', '-od', '-ow', '-um']
5,8,['c-', 'h-', 'm-', 'p-', 's-'],['-ad', '-ap', '-at', '-aw', '-ay', '-od', '-op', '-ot']
5,7,['b-', 'c-', 'h-', 'm-', 'r-'],['-ad', '-at', '-ay', '-ob', '-od', '-ow', '-um']
5,7,['b-', 'c-', 'm-', 'r-', 's-'],['-ad', '-at', '-ay', '-ob', '-od', '-ow', '-um']
5,7,['b-', 'f-', 'p-', 's-', 't-'],['-ad', '-at', '-ee', '-in', '-it', '-op', '-un']
5,7,['b-', 'h-', 'l-', 'm-', 'r-'],['-ad', '-ag', '-ay', '-id', '-ob', '-ow', '-ug']
5,7,['c-', 'h-', 'l-', 'm-', 'r-'],['-ad', '-ap', '-aw', '-ay', '-ob', '-ot', '-ow']
5,7,['c-', 'h-', 'm-', 'p-', 'r-'],['-ad', '-ap', '-at', '-aw', '-ay', '-od', '-ot']
5,7,['c-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-at', '-aw', '-ay', '-od', '-ot']
5,7,['h-', 'l-', 'n-', 's-', 't-'],['-ag', '-ap', '-ip', '-it', '-o', '-ot', '-ow']
5,7,['h-', 'm-', 'p-', 'r-', 's-'],['-ad', '-ap', '-at', '-aw', '-ay', '-od', '-ot']
5,6,['b-', 'c-', 'f-', 'm-', 'p-'],['-ad', '-an', '-ar', '-at', '-ay', '-op']
5,6,['b-', 'c-', 'g-', 'h-', 'r-'],['-ad', '-ay', '-ob', '-od', '-um', '-ut']
5,6,['b-', 'c-', 'h-', 'p-', 'r-'],['-ad', '-at', '-ay', '-od', '-ub', '-ut']
5,6,['b-', 'c-', 'h-', 'p-', 's-'],['-ad', '-at', '-ay', '-od', '-op', '-ub']
5,6,['b-', 'f-', 'g-', 'p-', 'w-'],['-ad', '-ar', '-ay', '-ee', '-ig', '-in']
5,6,['b-', 'f-', 'h-', 'l-', 's-'],['-ad', '-ag', '-ay', '-it', '-ob', '-op']
5,6,['b-', 'f-', 'h-', 'm-', 's-'],['-ad', '-ag', '-at', '-ay', '-ob', '-op']
5,6,['b-', 'f-', 'l-', 'p-', 's-'],['-ad', '-ay', '-ee', '-it', '-op', '-ox']
5,6,['b-', 'f-', 'p-', 't-', 'w-'],['-ad', '-an', '-ar', '-ee', '-in', '-it']
5,6,['b-', 'g-', 'h-', 'm-', 'r-'],['-ad', '-ag', '-ay', '-ob', '-od', '-um']
5,6,['b-', 'g-', 'h-', 'm-', 's-'],['-ad', '-ag', '-ay', '-ob', '-od', '-um']
5,6,['b-', 'g-', 'h-', 'r-', 's-'],['-ad', '-ag', '-ay', '-ob', '-od', '-um']
5,6,['b-', 'g-', 'm-', 'r-', 's-'],['-ad', '-ag', '-ay', '-ob', '-od', '-um']
5,6,['b-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ag', '-ay', '-ob', '-op', '-ow']
5,6,['b-', 'l-', 'n-', 's-', 'w-'],['-ag', '-ay', '-ee', '-et', '-it', '-ow']
5,6,['c-', 'h-', 'l-', 'm-', 'p-'],['-ad', '-ap', '-aw', '-ay', '-op', '-ot']
5,6,['c-', 'h-', 'l-', 'p-', 's-'],['-ad', '-ap', '-aw', '-ay', '-op', '-ot']
5,6,['c-', 'h-', 'n-', 'p-', 'r-'],['-ap', '-ay', '-od', '-ot', '-ub', '-ut']
5,6,['c-', 'h-', 'n-', 'r-', 's-'],['-ap', '-ay', '-od', '-ot', '-ow', '-ub']
5,6,['c-', 'h-', 'p-', 'r-', 't-'],['-ad', '-ap', '-at', '-ot', '-ub', '-ut']
5,6,['c-', 'h-', 'p-', 's-', 't-'],['-ad', '-ap', '-at', '-op', '-ot', '-ub']
5,6,['c-', 'l-', 'm-', 'p-', 's-'],['-ad', '-ap', '-aw', '-ay', '-op', '-ot']
5,6,['ca-', 'co-', 'ma-', 'pa-', 'ra-'],['-d', '-n', '-p', '-t', '-w', '-y']
5,6,['ca-', 'co-', 'ma-', 'pa-', 'so-'],['-d', '-n', '-p', '-t', '-w', '-y']
5,6,['ca-', 'co-', 'ma-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w', '-y']
5,6,['ca-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w', '-y']
5,6,['co-', 'ha-', 'ma-', 'ra-', 'sa-'],['-d', '-g', '-p', '-t', '-w', '-y']
5,6,['co-', 'ma-', 'pa-', 'ra-', 'so-'],['-d', '-n', '-p', '-t', '-w', '-y']
5,6,['g-', 'h-', 'l-', 'm-', 'r-'],['-ad', '-ag', '-ap', '-ay', '-ob', '-ot']
5,6,['g-', 'h-', 'l-', 'm-', 's-'],['-ad', '-ag', '-ap', '-ay', '-ob', '-ot']
5,6,['g-', 'h-', 'l-', 'r-', 's-'],['-ad', '-ag', '-ap', '-ay', '-ob', '-ot']
5,6,['h-', 'j-', 'l-', 'm-', 'r-'],['-ag', '-aw', '-ay', '-ob', '-ot', '-ug']
5,6,['h-', 'l-', 'm-', 'p-', 'r-'],['-ad', '-ap', '-aw', '-ay', '-ot', '-ug']
5,6,['h-', 'l-', 'm-', 'p-', 's-'],['-ad', '-ap', '-aw', '-ay', '-op', '-ot']
5,6,['h-', 'l-', 'm-', 'r-', 't-'],['-ad', '-ag', '-ap', '-ot', '-ow', '-ug']
5,6,['h-', 'l-', 'm-', 's-', 't-'],['-ad', '-ag', '-ap', '-op', '-ot', '-ow']
5,6,['h-', 'l-', 'n-', 'r-', 's-'],['-ag', '-ap', '-ay', '-ip', '-ot', '-ow']
5,6,['h-', 'l-', 'p-', 'r-', 's-'],['-ad', '-ap', '-aw', '-ay', '-ip', '-ot']
5,6,['h-', 'l-', 'p-', 's-', 't-'],['-ad', '-ap', '-ip', '-it', '-op', '-ot']
5,6,['h-', 'm-', 'n-', 'r-', 's-'],['-ag', '-ap', '-ay', '-od', '-ot', '-ow']
5,6,['h-', 'm-', 'r-', 's-', 't-'],['-ad', '-ag', '-ap', '-at', '-ot', '-ow']
5,6,['h-', 'n-', 'p-', 'r-', 's-'],['-ap', '-ay', '-ip', '-od', '-ot', '-ub']
5,6,['h-', 'n-', 'r-', 's-', 't-'],['-ag', '-ap', '-ip', '-ot', '-ow', '-ub']
5,6,['h-', 'p-', 'r-', 's-', 't-'],['-ad', '-ap', '-at', '-ip', '-ot', '-ub']
5,5,['b-', 'c-', 'f-', 'h-', 'l-'],['-ad', '-ay', '-ob', '-og', '-op']
5,5,['b-', 'c-', 'f-', 'h-', 'm-'],['-ad', '-at', '-ay', '-ob', '-op']
5,5,['b-', 'c-', 'f-', 'h-', 's-'],['-ad', '-at', '-ay', '-ob', '-op']
5,5,['b-', 'c-', 'f-', 'm-', 'r-'],['-ad', '-an', '-at', '-ay', '-ob']
5,5,['b-', 'c-', 'f-', 'm-', 's-'],['-ad', '-at', '-ay', '-ob', '-op']
5,5,['b-', 'c-', 'f-', 'm-', 't-'],['-ad', '-an', '-ar', '-at', '-op']
5,5,['b-', 'c-', 'f-', 'p-', 't-'],['-ad', '-an', '-ar', '-at', '-op']
5,5,['b-', 'c-', 'g-', 'h-', 'm-'],['-ad', '-ay', '-ob', '-od', '-um']
5,5,['b-', 'c-', 'g-', 'h-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
5,5,['b-', 'c-', 'g-', 'm-', 'r-'],['-ad', '-ay', '-ob', '-od', '-um']
5,5,['b-', 'c-', 'g-', 'm-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
5,5,['b-', 'c-', 'g-', 'r-', 's-'],['-ad', '-ay', '-ob', '-od', '-um']
5,5,['b-', 'c-', 'h-', 'l-', 'm-'],['-ad', '-ay', '-ob', '-op', '-ow']
5,5,['b-', 'c-', 'h-', 'l-', 's-'],['-ad', '-ay', '-ob', '-op', '-ow']
5,5,['b-', 'c-', 'h-', 'm-', 'p-'],['-ad', '-at', '-ay', '-od', '-op']
5,5,['b-', 'c-', 'h-', 'n-', 'r-'],['-ay', '-od', '-ow', '-ub', '-ut']
5,5,['b-', 'c-', 'h-', 'p-', 't-'],['-ad', '-at', '-op', '-ub', '-ut']
5,5,['b-', 'c-', 'h-', 'r-', 't-'],['-ad', '-at', '-ow', '-ub', '-ut']
5,5,['b-', 'c-', 'h-', 's-', 't-'],['-ad', '-at', '-op', '-ow', '-ub']
5,5,['b-', 'c-', 'l-', 'm-', 's-'],['-ad', '-ay', '-ob', '-op', '-ow']
5,5,['b-', 'c-', 'm-', 'p-', 'r-'],['-ad', '-an', '-at', '-ay', '-od']
5,5,['b-', 'c-', 'm-', 'p-', 's-'],['-ad', '-at', '-ay', '-od', '-op']
5,5,['b-', 'c-', 'm-', 'p-', 't-'],['-ad', '-an', '-ar', '-at', '-op']
5,5,['b-', 'c-', 'm-', 't-', 'w-'],['-ad', '-an', '-ar', '-oo', '-ow']
5,5,['b-', 'c-', 'p-', 'r-', 's-'],['-ad', '-at', '-ay', '-od', '-ub']
5,5,['b-', 'c-', 'p-', 'r-', 't-'],['-ad', '-an', '-at', '-ub', '-ut']
5,5,['b-', 'd-', 'f-', 'g-', 'p-'],['-ad', '-ay', '-ig', '-in', '-un']
5,5,['b-', 'f-', 'g-', 'l-', 's-'],['-ad', '-ag', '-ay', '-ee', '-ob']
